airport_name	iata	number_of_hotels	country_code	deeplink	
Francisco Alvares de Assis	JDF	18	br	http://www.booking.com/airport/br/JDF.html	
French Lick Municipal	FRH	8	us	http://www.booking.com/airport/us/FRH.html	
Floyd Bennett Memorial	GFL	30	us	http://www.booking.com/airport/us/GFL.html	
Riverside Municipal	RAL	30	us	http://www.booking.com/airport/us/RAL.html	
Zapata County	T86	3	us	http://www.booking.com/airport/us/T86.html	
Blackpool	BLK	30	gb	http://www.booking.com/airport/gb/BLK.html	
Örnsköldsvik	OER	9	se	http://www.booking.com/airport/se/OER.html	
Gulkana	GKN	3	us	http://www.booking.com/airport/us/GKN.html	
Pa-an	PAA	2	mm	http://www.booking.com/airport/mm/PAA.html	
Kastrup	CPH	30	dk	http://www.booking.com/airport/dk/CPH.html	
Allen C. Perkinson/Blackstone Army Airfield	BKT	1	us	http://www.booking.com/airport/us/BKT.html	
Iberia	IBP	1	pe	http://www.booking.com/airport/pe/IBP.html	
Great Falls International Airport	GTF	23	us	http://www.booking.com/airport/us/GTF.html	
Grider Field	PBF	11	us	http://www.booking.com/airport/us/PBF.html	
Kashgar (Kashi)	KHG	8	cn	http://www.booking.com/airport/cn/KHG.html	
Wangerooge	AGE	30	de	http://www.booking.com/airport/de/AGE.html	
Norden	NOD	30	de	http://www.booking.com/airport/de/NOD.html	
Sarajevo	SJJ	30	ba	http://www.booking.com/airport/ba/SJJ.html	
Salerno Airport - Aeroporto di Salerno	QSR	30	it	http://www.booking.com/airport/it/QSR.html	
Ardmore	AMZ	30	nz	http://www.booking.com/airport/nz/AMZ.html	
Yasuru	KSX	9	us	http://www.booking.com/airport/us/KSX.html	
Rourkela	RRK	4	in	http://www.booking.com/airport/in/RRK.html	
Bemidji Regional	BJI	5	us	http://www.booking.com/airport/us/BJI.html	
Erkilet International	ASR	30	tr	http://www.booking.com/airport/tr/ASR.html	
Killeen-Fort Hood Regional (Robert Gray Army Airfi	GRK	30	us	http://www.booking.com/airport/us/GRK.html	
Graciosa Island	GRW	5	pt	http://www.booking.com/airport/pt/GRW.html	
Carlisle Barracks Ahp	KN9	30	us	http://www.booking.com/airport/us/KN9.html	
Danbury Municipal	DXR	30	us	http://www.booking.com/airport/us/DXR.html	
Juan Santamaría International Airport	SJO	30	cr	http://www.booking.com/airport/cr/SJO.html	
Hemavan	HMV	4	se	http://www.booking.com/airport/se/HMV.html	
Internacional de Pelotas	PET	11	br	http://www.booking.com/airport/br/PET.html	
Hua Hin Airport	HHQ	30	th	http://www.booking.com/airport/th/HHQ.html	
Cleveland Municipal	95F	2	us	http://www.booking.com/airport/us/95F.html	
Brainerd Lakes Regional	BRD	7	us	http://www.booking.com/airport/us/BRD.html	
St Barthelemy	SBH	30	bl	http://www.booking.com/airport/bl/SBH.html	
Richard Arthur Field	M95	1	us	http://www.booking.com/airport/us/M95.html	
Haskell	2K9	19	us	http://www.booking.com/airport/us/2K9.html	
Cal Black Memorial	U96	1	us	http://www.booking.com/airport/us/U96.html	
Fallon Municipal	FLX	7	us	http://www.booking.com/airport/us/FLX.html	
Fayetteville Municipal	FYM	5	us	http://www.booking.com/airport/us/FYM.html	
Trinity Center	O86	2	us	http://www.booking.com/airport/us/O86.html	
Murray-Calloway County	CEY	11	us	http://www.booking.com/airport/us/CEY.html	
Mineral Wells	MWL	25	us	http://www.booking.com/airport/us/MWL.html	
General Juan N Alvarez International Airport	ACA	30	mx	http://www.booking.com/airport/mx/ACA.html	
